Регион;regionCode;Рейтинг;Рейтинг со сглаживанием;Комплексный рейтинг;Рейтинг топ МФЦ
Алтайский край;RU-ALT;4,06;4,14;2,9;4,51
Амурская обл.;RU-AMU;4,08;4,16;3,05;4,4
Архангельская обл.;RU-ARK;4,09;4,17;3,09;4,39
Астраханская обл.;RU-AST;3,8;3,86;3,02;4,24
Белгородская обл.;RU-BEL;3,91;3,96;3,35;4,43
Брянская обл.;RU-BRY;3,96;4,03;2,68;4,35
Владимирская обл.;RU-VLA;4,52;4,52;3,55;4,5
Волгоградская обл.;RU-VGG;4,02;4,08;2,73;4,56
Вологодская обл.;RU-VLG;4,05;4,11;3,43;4,46
Воронежская обл.;RU-VOR;3,96;4,02;3,04;4,54
Донецкая Народная Республика;RU-DON;3,95;4,01;2,81;4,06
Донецкая Народная Республика ;RU-DON;4,08;4,01;2,81;4,06
Еврейская АО;RU-YEV;3,73;3,79;2,52;3,85
Забайкальский край;RU-ZAB;4,15;4,18;2,79;4,31
Запорожская область;RU-ZP;3,87;3,76;2,63;3,87
Ивановская обл.;RU-IVA;3,97;4,05;2,94;4,42
Иркутская обл.;RU-IRK;4,08;4,14;3,18;4,68
Кабардино-Балкарская Республика;RU-KB;4,01;4,05;2,95;4,27
Калининградская обл.;RU-KGD;4,41;4,5;3,37;4,78
Калужская обл.;RU-KLU;4,35;4,43;3,57;4,69
Камчатский край;RU-KAM;4,19;4,26;3,59;4,4
Карачаево-Черкесская Республика;RU-KC;4,01;4,06;2,83;4,28
Кемеровская обл. - Кузбасс;RU-KEM;4,05;4,13;3,21;4,6
Кировская обл.;RU-KIR;4,09;4,14;3,05;4,5
Костромская обл.;RU-KOS;3,91;3,91;2,71;3,93
Краснодарский край;RU-KDA;4,05;4,1;3,22;4,7
Красноярский край;RU-KYA;4,01;4,09;3,11;4,56
Курганская обл.;RU-KGN;4,29;4,36;3,2;4,46
Курская обл.;RU-KRS;4,41;4,43;3,36;4,54
Ленинградская обл.;RU-LEN;4,2;4,27;3,57;4,86
Липецкая обл.;RU-LIP;4,31;4,51;3,62;4,94
Луганская Народная Республика;RU-LUG;4,07;4,04;2,83;4,07
Магаданская обл.;RU-MAG;3,95;3,99;2,98;3,95
Московская обл.;RU-MOS;4,42;4,49;3,96;4,67
Мурманская обл.;RU-MUR;4,46;4,51;3,51;4,63
Ненецкий АО;RU-NEN;4,11;4,17;3,18;4,11
Нижегородская обл.;RU-NIZ;4,13;4,23;3,66;4,42
Новгородская обл.;RU-NGR;4,06;4,14;3,19;4,58
Новосибирская обл.;RU-NVS;4,17;4,23;3,3;4,54
Омская обл.;RU-OMS;3,93;3,99;2,94;4,22
Оренбургская обл.;RU-ORE;4,02;4,08;3,06;4,58
Орловская обл.;RU-ORL;4,02;4,08;2,72;4,24
Пензенская обл.;RU-PNZ;3,93;3,98;2,9;4,2
Пермский край;RU-PER;3,94;4,03;3,06;4,7
Приморский край;RU-PRI;4,29;4,34;3,39;4,65
Псковская обл.;RU-PSK;4,23;4,29;3,17;4,46
Республика Адыгея (Адыгея);RU-AD;4,09;4,17;3,03;4,34
Республика Алтай;RU-AL;3,96;4,0;2,78;4,05
Республика Башкортостан;RU-BA;3,9;3,97;3,13;4,62
Республика Бурятия;RU-BU;3,81;3,85;2,75;4,1
Республика Дагестан;RU-DA;4,3;4,34;2,98;4,45
Республика Ингушетия;RU-IN;4,03;4,08;2,63;4,03
Республика Калмыкия;RU-KL;4,33;4,35;3,01;4,33
Республика Карелия;RU-KR;4,11;4,18;2,89;4,42
Республика Коми;RU-KO;4,06;4,11;2,95;4,28
Республика Крым;RU-CR;3,77;3,81;2,54;4,54
Республика Марий Эл;RU-ME;3,93;3,98;2,87;4,23
Республика Мордовия;RU-MO;4,18;4,24;3,0;4,31
Республика Саха (Якутия);RU-SA;4,26;4,34;3,63;4,59
Республика Северная Осетия - Алания;RU-SE;4,26;4,39;3,01;4,33
Республика Татарстан (Татарстан);RU-TA;4,15;4,25;3,94;4,81
Республика Тыва;RU-TY;3,79;3,79;2,62;3,78
Республика Хакасия;RU-KK;4,15;4,22;2,92;4,15
Ростовская обл.;RU-ROS;4,14;4,21;3,36;4,78
Ростовская область;RU-ROS;4,45;4,21;3,36;4,78
Рязанская обл.;RU-RYA;3,96;4,02;2,99;4,34
Самарская обл.;RU-SAM;4,03;4,13;3,1;4,62
Саратовская обл.;RU-SAR;4,58;4,58;3,52;4,62
Сахалинская обл.;RU-SAK;4,35;4,37;3,38;4,36
Свердловская обл.;RU-SVE;4,25;4,29;3,51;4,54
Смоленская обл.;RU-SMO;3,97;4,08;3,18;4,54
Ставропольский край;RU-STA;4,18;4,25;3,33;4,62
Тамбовская обл.;RU-TAM;3,97;4,06;2,85;4,52
Тверская обл.;RU-TVE;4,15;4,22;3,21;4,42
Томская обл.;RU-TOM;4,23;4,32;3,33;4,67
Тульская обл.;RU-TUL;4,36;4,45;3,94;4,82
Тюменская обл.;RU-TYU;4,41;4,47;3,75;4,88
Удмуртская Республика;RU-UD;4,19;4,25;3,19;4,35
Ульяновская обл.;RU-ULY;4,35;4,41;3,21;4,51
Хабаровский край;RU-KHA;4,0;4,03;3,03;4,26
Ханты-Мансийский АО - Югра;RU-KHM;4,43;4,5;3,97;4,79
Херсонская область;RU-HR;3,1;3,1;2,17;3,1
Челябинская обл.;RU-CHE;4,02;4,08;3,43;4,42
Чеченская Республика;RU-CE;4,04;4,07;2,79;4,21
Чувашская Республика - Чувашия;RU-CU;4,48;4,5;3,35;4,54
Чукотский АО;RU-CHU;4,05;4,06;2,72;4,05
Ямало-Ненецкий АО;RU-YAN;4,15;4,32;3,75;4,56
Ярославская обл.;RU-YAR;4,29;4,34;3,31;4,53
г. Москва;RU-MOW;4,77;4,8;4,66;4,82
г. Санкт-Петербург;RU-SPE;4,74;4,76;4,32;4,83
город федерального значения Севастополь;RU-SEV;4,61;4,61;3,58;4,61
